Name,Country,Region,Winery,Rating,Price,Year
Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,14.41,2017
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,11.9,2019
Crémant de Limoux Brut N.V.,France,Crémant de Limoux,Prima Perla,3.5,14.32,N.V.
Athesis Brut 2016,Italy,Südtirol - Alto Adige,Kettmeir,4,21.5,2016
Blanc de Blancs Réserve Brut Nature N.V.,Germany,Pfalz,Eymann,3.9,31.18,N.V.
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4,22.13,2015
Sélection Demi-Sec Champagne Premier Cru N.V.,France,Champagne Premier Cru,Henriet-Bazin,4.1,25,N.V.
Cava Imperial Brut N.V.,Spain,Cava,Cautiu,3.8,9.45,N.V.
Pinot Brut N.V.,Germany,Baden,Weingut Kilian Hunn,3.5,13.54,N.V.
Rosato Frizzante N.V.,Italy,Veneto,Le Carline,3.9,7.95,N.V.
Brut N.V.,Portugal,Alentejo,Sexy,3.7,15,N.V.
Crémant de Loire L'Extra Rosé N.V.,France,Crémant de Loire,Langlois-Chateau,3.7,14.4,N.V.
Brut 2012,United States,Anderson Valley,Roederer Estate,3.9,57.51,2012
Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,269,2007
Riesling Extra Brut N.V.,Germany,Pfalz,Eymann,4,18.6,N.V.
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,41.29,2011
Valdobbiadene Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco Superiore,Val d'Oca,3.6,11.04,N.V.
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,14.87,2017
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,27.95,2008
Rosato Frizzante N.V.,Italy,Veneto,Fili,3.5,7.69,N.V.
Crémant d'Alsace Brut Prestige N.V.,France,Crémant d'Alsace,Domaine du Moulin de Dusenbach,3.8,14.95,N.V.
Schloss Castell Silvaner Brut N.V.,Germany,Franken,Castell,4.1,17.5,N.V.
Giovanni Galliano Brut Rosé 2016,Italy,Piemonte,Borgo Maragliano,3.7,22.9,2016
Reyes de Aragón El Casto Brut Reserva N.V.,Spain,Cava,Bodegas Langa,3.8,7.95,N.V.
Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Jean-Louis Schoepfer,3.7,14,N.V.
Amico Filò N.V.,Italy,delle Venezie,Paladin,3.6,6.21,N.V.
Moscato d'Asti 2019,Italy,Moscato d'Asti,Tenimenti Ca'Bianca,3.9,7.45,2019
San Carlo Moscato d'asti 2017,Italy,Moscato d'Asti,Montalbera,3.8,9.9,2017
Aotea Méthode Traditionnelle N.V.,New Zealand,Nelson,Seifried Estate,3.6,26.9,N.V.
Jolie Extra Dry Spumante 2016,Italy,Sicilia,Feudi Branciforti dei Bordonaro,3.6,9.9,2016
Sleever Brut Reserva Rosado N.V.,Spain,Cava,Vilarnau,3.6,10.99,N.V.
Punto Rosa Millesimato 2016,Italy,Veneto,Val d'Oca,3.9,11.95,2016
Cava Chardonnay Brut N.V.,Spain,Cava,Torre Oria,3.6,12.99,N.V.
Grand Cuvée Arctic Fox N.V.,Australia,McLaren Vale,Fox Creek,3.7,18.81,N.V.
Riesling Brut N.V.,Luxembourg,Moselle,Bernard-Massard,3.7,10.49,N.V.
Brut Rosé 2016,Germany,Baden,Griesel & Compagnie,4,31,2016
Brut 2010,Germany,Rheingau,Georg Breuer,3.7,35.9,2010
Carte d'Or Demi-Sec Champagne N.V.,France,Champagne,Drappier,3.8,29.89,N.V.
Vintage Chardonnay 2007,Germany,Rheinhessen,Raumland,4.4,70.18,2007
Méthode Cap Classique 2013,South Africa,Stellenbosch,Thelema,3.8,21.9,2013
Prosecco Extra Dry N.V.,Italy,Prosecco,Savian,3.6,10.95,N.V.
Cremant d'Alsace Blanc de Blancs N.V.,France,Crémant d'Alsace,Boeckel,4,15.5,N.V.
Pinot Blanc Brut N.V.,Germany,Rheingau,Barth,3.8,16.59,N.V.
Brachetto Piemonte 2018,Italy,Piemonte,Borgo Maragliano,4.2,9.9,2018
Rosé Brut 2015,Germany,Rheingau,Schloss Vaux,3.6,25,2015
Cava Brut N.V.,Spain,Cava,Sardà,3.4,7.99,N.V.
Blanc de Blancs Brut Champagne 2014,France,Champagne,Deutz,4.4,72,2014
Izar-Leku Hondarrabi Zuri 2016,Spain,Getariako Txakolina,Artadi,3.9,27.1,2016
Vecchia Modena Premium Mention Honorable 2019,Italy,Lambrusco di Sorbara,Cleto Chiarli,3.8,9.65,2019
Venti 2 Gold Cuvée N.V.,Italy,delle Venezie,Borgo Molino,4.1,9.5,N.V.
36 Cuvée Rosé Brut N.V.,Italy,Vino d'Italia,Marsuret,3.8,10.9,N.V.
Crémant Riesling Brut N.V.,Luxembourg,Crémant de Luxembourg,Bernard-Massard,3.5,17.77,N.V.
Frizzante Prosecco N.V.,Italy,Prosecco,Ca' Ongaresca,4,7.27,N.V.
Donna Cora 2014,Italy,Franciacorta,Montenisa,4,36.5,2014
Kellermeister Edition Sekt Extra Trocken 2016,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.7,9.83,2016
Millesimato Brut 2014,Italy,Franciacorta,Monzio Compagnoni,3.7,17.9,2014
Quinquin Sparkling Rosé N.V.,Austria,Burgenland,Esterházy,3.7,12.1,N.V.
Perlé Rosé Riserva 2011,Italy,Trento,Ferrari,4.1,92.53,2011
Victor Mandois Brut Champagne 2008,France,Champagne,Mandois,3.9,37.97,2008
Etichetta Nera Spumante Extra Dry 2018,Italy,Veneto,Sacchetto,3.8,9.82,2018
Große Reserve Brut Nature 2015,Austria,Kamptal,Jurtschitsch,3.9,22.13,2015
Crémant de Bourgogne Blanc de Blancs Extra Brut N.V.,France,Crémant de Bourgogne,Domaine Henri Boillot,4,22.5,N.V.
Asolo Prosecco Superiore Millesimato Extra Dry N.V.,Italy,Asolo Prosecco,Val d'Oca,3.8,14.41,N.V.
Vecchie Viti 2018,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,4,22.99,2018
Cuvée Clive 2014,South Africa,Robertson,Graham Beck,4.2,45,2014
Millésimé Crémant du Jura Brut 2014,France,Crémant du Jura,Tissot-Maire,3.7,13.9,2014
Cuvée Esplendor Vinyes Propies 2014,Spain,Penedès,Vardon Kennett,3.5,45.74,2014
Grande Cuvée de Purcari Extra Brut 2016,Moldova,South Eastern,Château Purcari,4.4,49.98,2016
Rosé Prestige Brut 2012,Germany,Rheinhessen,Raumland,4.1,20.28,2012
Blanc de Blancs Brut Champagne Premier Cru 2010,France,Champagne Premier Cru,Paul Michel,3.9,31.68,2010
Vigna Senza Nome Moscato d'Asti 2019,Italy,Moscato d'Asti,Braida,4.1,11.43,2019
Valdobbiadene Millesimato Brut 2017,Italy,Conegliano-Valdobbiadene Prosecco,Borgo Molino,4.1,14.9,2017
Brut Nature N.V.,Germany,Pfalz,Frank John,4.4,28,N.V.
Cuvée Muggi Bubbles Day Extra Brut N.V.,Italy,Trentino-Alto Adige,Arunda,3.7,25.9,N.V.
Prosecco Millesimato Brut 2018,Italy,Prosecco,Fili,4,11.05,2018
Blanc de Noirs Brut 2016,Germany,Baden,Griesel & Compagnie,4,15.5,2016
Cuvée Eugénie Crémant de Limoux Brut 2017,France,Crémant de Limoux,Antech,3.6,14.62,2017
‘61 Franciacorta Rosé 1961,Italy,Franciacorta,Berlucchi,3.8,18.91,1961
Chiaretto Spumante Brut N.V.,Italy,Bardolino,Zeni,3.5,12.9,N.V.
Ocarosa Frizzanate Rosato N.V.,Italy,Veneto,Val d'Oca,3.6,4.9,N.V.
Cuvée Marie-Luise Brut 2013,Germany,Rheinhessen,Raumland,3.8,17.55,2013
La Croisette Brut Champagne 2014,France,Champagne,Leclerc Briant,4.3,145.7,2014
Privat Trocken N.V.,Germany,Rheingau,Ohlig Sekt,3.7,6.81,N.V.
Brut Nature N.V.,Germany,Nahe,Korrell,4.2,17.9,N.V.
Crémant d'Alsace Brut N.V.,France,Crémant d'Alsace,Edouard Leiber,3.8,9.9,N.V.
Leonardo Trocken Pinot Rosé N.V.,Germany,Baden,Haltinger Winzer,3.8,8.95,N.V.
Vintage Rosé Brut Champagne 2012,France,Champagne,Veuve Clicquot,4.2,78.49,2012
Cristal Rosé Brut Champagne (Millésimé) 2012,France,Champagne,Louis Roederer,4.7,449.9,2012
Valdobbiadene Prosecco Superiore Brut Dosaggio Zero 2018,Italy,Conegliano-Valdobbiadene Prosecco,Col Vetoraz,3.5,14.9,2018
Graphic Ice Champagne N.V.,France,Champagne,Nicolas Feuillatte,3.5,39,N.V.
Reserve Rosé Champagne 2005,France,Champagne,Charles Heidsieck,4.2,109.92,2005
Brut Champagne 2010,France,Champagne,Barons de Rothschild (Lafite),4.3,75.95,2010
Inspiration de Saison Extra Brut Champagne 2010,France,Champagne,Michel Loriot,3.9,37.64,2010
Rosa Regale 2019,Italy,Brachetto d'Acqui,Banfi,4,7.6,2019
Prosecco Valdobbiadene Rive di Refrontolo Superiore Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Santa Margherita,3.8,16.07,2018
Franciacorta Rosé 2013,Italy,Franciacorta,Bellavista,3.9,57.61,2013
Pinot Rosé Brut N.V.,Germany,Pfalz,Eymann,3.5,16.9,N.V.
Athesis Brut Rosé 2016,Italy,Südtirol - Alto Adige,Kettmeir,3.9,23.11,2016
Il Vino dei Poeti Gold 2018,Italy,Prosecco,Bottega,3.9,19.4,2018
Elixir Dry Champagne N.V.,France,Champagne,Pommery,3.7,41.39,N.V.
Frizzantino Dolce N.V.,Italy,Emilia,Gualtieri,4.2,3.15,N.V.
Millesimato Extra Dry Prosecco 2017,Italy,Prosecco,Paladin,3.7,11.36,2017
Brut Rosé Aÿ Champagne N.V.,France,Champagne,Pierre Leboeuf,3.8,33.95,N.V.
Crémant du Jura Brut Rosé N.V.,France,Crémant du Jura,Tissot-Maire,4,12.9,N.V.
Trentasei 2014,Italy,Modena,Cantina della Volta,3.8,24.4,2014
Somnam’Bulles 2017,France,Vin de France,Mas del Périé - Fabien Jouves,3.8,13.9,2017
Brut Methode Cap Classique N.V.,South Africa,Constantia,Buitenverwachting,3.8,14.5,N.V.
Brut Nature N.V.,Germany,Pfalz,Leiner,4.2,25,N.V.
Authentique Rosé Brut Champagne N.V.,France,Champagne,Le Brun de Neuville,4.1,40,N.V.
Trento Brut Millesimato N.V.,Italy,Trento,Endrizzi,3.7,16.7,N.V.
Prosecco Treviso Millesimato Extra Dry 2018,Italy,Prosecco di Treviso,Sanmartino,3.9,10.5,2018
Riesling Brut N.V.,Germany,Pfalz,Koehler-Ruprecht,3.8,35.41,N.V.
Carte Rosé Brut Champagne N.V.,France,Champagne,Irroy,3.7,39.95,N.V.
Crémant de Loire Brut N.V.,France,Crémant de Loire,Chapin & Landais,4,10.86,N.V.
Cava Reserva Semi Seco N.V.,Spain,Cava,Segura Viudas,3.5,11.83,N.V.
Cremant d'Alsace Reserve de l'Abbaye Chardonnay N.V.,France,Crémant d'Alsace,Arthur Metz,3.9,14.09,N.V.
Cuvée Vaux Brut 2016,Germany,Rheingau,Schloss Vaux,3.9,11.62,2016
Millesimé Carte d'Or Brut Champagne Premier Cru 2010,France,Champagne Premier Cru,Henriet-Bazin,3.9,39.95,2010
Ultra N.V.,Germany,Rheingau,Barth,4.3,31.53,N.V.
Auris Brut N.V.,Italy,Veneto,Villa Sandi,3.8,17.5,N.V.
Cava Reyes de Aragón Reserva Brut Nature N.V.,Spain,Calatayud,Bodegas Langa,3.5,14.9,N.V.
Crémant de Loire Brut N.V.,France,Crémant de Loire,Louis Despas & Cie,3.6,14.32,N.V.
Crémant de Bourgogne Brut N.V.,France,Crémant de Bourgogne,Château de la Greffière,3.7,17.76,N.V.
Millesimé Extra Brut Champagne 2013,France,Champagne,Leclerc Briant,4.3,60.2,2013
Crémant de Limoux Rosé Brut N.V.,France,Crémant de Limoux,La Louvière,4.2,20.19,N.V.
Extra Brut Champagne N.V.,France,Champagne,Louis Casters,4.1,42.9,N.V.
Les Hauts des Clos du Mont Brut Champagne N.V.,France,Champagne,Fallet Dart,4.2,66,N.V.
Brut Opere Rosé N.V.,Italy,Veneto,Villa Sandi,3.6,14.5,N.V.
Brut Rosé 2015,South Africa,Franschhoek,L'Ormarins,3.7,16.93,2015
Rosé Brut N.V.,Italy,Piemonte,Tenuta San Pietro,3.7,20.43,N.V.
Cuvée Marie Ambal Crémant de Bourgogne Rosé N.V.,France,Crémant de Bourgogne,Veuve Ambal,3.8,23.95,N.V.
Conegliano Valdobbiadene Prosecco N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Le Manzane,3.8,7.99,N.V.
La Petite Bulle Brut Rosé N.V.,France,Saumur,Bouvet-Ladubay,3.6,6.95,N.V.
Noces de Craie Champagne Grand Cru 'Aÿ' 2015,France,Champagne Grand Cru 'Aÿ',Marc Hébrart,4.4,65,2015
Marca Trevigiana Rosé N.V.,Italy,Marca Trevigiana,Le Contesse,3.7,4.7,N.V.
Pinot Blanc Brut N.V.,Austria,Niederösterreich,Szigeti,3.6,14.16,N.V.
Rosé Brut N.V.,Italy,Veneto,Sacchetto,3.5,10.54,N.V.
Brut Champagne N.V.,France,Champagne,Champagne du Rédempteur,3.8,31.9,N.V.
Muskat Ottonel Extra Dry N.V.,Austria,Burgenland,Szigeti,3.9,13.2,N.V.
Spumante Extra Brut 2015,Italy,Piemonte,Bruno Giacosa,3.6,27.06,2015
L'Ermitage Brut Rosé 2006,United States,Anderson Valley,Roederer Estate,4.2,66.9,2006
'La Picia' Bardolino Chiaretto Spumante Extra Dry N.V.,Italy,Bardolino,Monte del Frá,3.6,10.5,N.V.
Brut Rosé Champagne N.V.,France,Champagne,Comtesse Lafond,4.3,51.9,N.V.
Riesling Sekt Brut N.V.,Germany,Rheingau,Weingüter Wegeler,3.7,14.2,N.V.
Rosé Brut Champagne (Vintage) 2014,France,Champagne,Louis Roederer,4.1,48.64,2014
Riesling Brut N.V.,Germany,Nahe,Emrich-Schönleber,3.8,16.4,N.V.
Prosecco Superiore di Conegliano Valdobbiadene Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Canella,3.6,14.39,N.V.
Marsecco Red N.V.,Italy,delle Venezie,Castle of Dracula,3.6,8.86,N.V.
Cava Organic Brut Nature 2017,Spain,Cava,Vilarnau,3.8,14.53,2017
Rheingauer Réserve Riesling Brut 2014,Germany,Rheingau,Schloss Vaux,3.6,19,2014
Dibon Rosado Cava N.V.,Spain,Cava,Pinord,3.5,7.99,N.V.
Marc Mir Brut Nature N.V.,Spain,Catalunya,Rosell Mir,3.8,15.3,N.V.
Molera Valdobbiadene Prosecco Superiore Extra Dry 2017,Italy,Conegliano-Valdobbiadene Prosecco,Bisol,3.9,19.98,2017
Kaapse Vonkel Brut 2018,South Africa,Western Cape,Simonsig,3.9,12.18,2018
Mont Marvin Cuvée Brut Champagne 2011,France,Champagne,Lacroix Triaulaire,4,42,2011
Quartet Brut Rosé N.V.,United States,Anderson Valley,Roederer Estate,3.8,39.9,N.V.
36 Cuvée Brut N.V.,Italy,Colli Trevigiani,Marsuret,3.5,9.8,N.V.
Parlein Brut N.V.,Italy,Trentino-Alto Adige,Arunda,3.6,22.9,N.V.
Crémant d'Alsace Blanc de Blancs Brut N.V.,France,Crémant d'Alsace,Dopff & Fils,4.2,14.21,N.V.
Reyes de Aragón El Monje Brut Nature N.V.,Spain,Cava,Bodegas Langa,3.7,11.8,N.V.
Rheingauer Réserve Riesling Brut 2015,Germany,Rheingau,Schloss Vaux,3.9,18.5,2015
Cuvée 28+ Rosé N.V.,Italy,Trento,Rotari,3.8,12.5,N.V.
Riesling Brut 2017,Germany,Rheingau,Kloster Eberbach,3.6,12.6,2017
Cuveé Salome Brut N.V.,Germany,Pfalz,Friedrich Becker,3.8,19.49,N.V.
Rosé Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Autréau de Champillon,3.6,28.5,N.V.
Blanc de Blancs Brut Champagne N.V.,France,Champagne,Jacquinot & Fils,3.7,46.95,N.V.
Lady Rosé Champagne N.V.,France,Champagne,Duval-Leroy,3.6,51.69,N.V.
Riserva Extra Brut 2012,Italy,Trentino-Alto Adige,Arunda,4.1,24.15,2012
Ice Blanc de Blancs Demi-Sec N.V.,Italy,Vino d'Italia,Valdo,3.7,8.32,N.V.
Efecte Classic Penedès Brut Reserva 2017,Spain,Penedès,Albet i Noya,3.9,15.6,2017
Triumvirat Grande Cuvée Brut 2009,Germany,Rheinhessen,Raumland,4.1,42.95,2009
'Giulio Ferrari' Riserva del Fondatore Rosé 2006,Italy,Trentino,Ferrari,4.5,239,2006
N.P.U Brut Champagne (Nec Plus Ultra) 2004,France,Champagne,Bruno Paillard,4.4,169,2004
Teatro Alla Scala 2013,Italy,Franciacorta,Bellavista,4,47.53,2013
Il Vino dei Poeti Gold 2017,Italy,Prosecco,Bottega,3.8,19.4,2017
Secco Rosé N.V.,Germany,German Wine,Kloster Eberbach,4,9.97,N.V.
Veneto Sciànco Custoza Spumante Brut N.V.,Italy,Veneto,Monte del Frá,3.8,10.5,N.V.
Imperial Brut 2015,Spain,Cava,Gramona,4,19.99,2015
L'Authentique Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,78.95,2009
Bricco Quaglia Moscato d'Asti 2019,Italy,Moscato d'Asti,La Spinetta,4.1,15.69,2019
Familiengewächs Frizzante Valentin weiss N.V.,Germany,Franken,Winzer Sommerach,4.2,8.05,N.V.
Prosecco Treviso Frizzante N.V.,Italy,Prosecco di Treviso,Le Contesse,4.1,6.9,N.V.
Pinot Noir Rosé Brut N.V.,Germany,Rheingau,Barth,3.6,16.59,N.V.
Ribula Brut N.V.,Italy,Friuli-Venezia Giulia,Conte d'Attimis Maniago,3.6,11.9,N.V.
Initiation N.V.,France,Champagne,Benoît Déhu,4.2,54,N.V.
Cuvée Rosa Extra Dry N.V.,Italy,Prosecco,Canevel,4,11.99,N.V.
Tre Comuni Valdobbiadene Prosecco Superiore Extra Dry N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Vallis Mareni,3.8,8.99,N.V.
Moscato d'Asti 2019,Italy,Moscato d'Asti,Prunotto,3.9,11.9,2019
Crémant de Loire Brut Rosé N.V.,France,Crémant de Loire,Chapin & Landais,3.7,11.07,N.V.
Tradition Demi-Sec Champagne N.V.,France,Champagne,J.M. Gobillard & Fils,4.1,28.95,N.V.
Prosecco Treviso Brut N.V.,Italy,Prosecco di Treviso,Soligo,3.6,8.95,N.V.
Cuvée Prestige Millésimé Brut Champagne 2013,France,Champagne,J.M. Gobillard & Fils,4.2,33.92,2013
Serral del Vell Brut Nature 2009,Spain,Cava,Recaredo,4.3,39.5,2009
Cuvée Patrimony Brut Champagne N.V.,France,Champagne,Michel Loriot,3.8,25.99,N.V.
Brut Metodo Classico Opere Trevigiane N.V.,Italy,Veneto,Villa Sandi,3.7,17.5,N.V.
Millesimé Brut Champagne 2013,France,Champagne,Deutz,4,48.5,2013
Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.8,11.21,2018
Brut N.V.,Italy,Piemonte,Tenuta San Pietro,3.7,18.81,N.V.
Cava Brut Imperial Reserva N.V.,Spain,Cava,Pupitre,3.6,9.5,N.V.
Franciacorta Rosé 2015,Italy,Franciacorta,Bellavista,4.1,46.9,2015
Stefano Bottega Fragolino Rosso Frizzante N.V.,Italy,Friuli-Venezia Giulia,Bottega,4.1,6.5,N.V.
Brut Rosé N.V.,Italy,Prosecco,Bosco del Merlo,3.8,10.45,N.V.
Millésime Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,39.95,2009
Conte Aimo Blanc de Noir 2009,Italy,Franciacorta,Montenisa,4.2,47,2009
Réserve Blanquette de Limoux Brut 2016,France,Blanquette de Limoux,Antech,3.7,14.62,2016
Pierre Brut N.V.,Germany,Pfalz,Dr. Von Bassermann-Jordan,3.8,21.9,N.V.
Grande Sélection Brut Champagne N.V.,France,Champagne,Le Brun de Neuville,4,29.95,N.V.
Blanc de Blancs N.V.,Italy,Veneto,Ottella,4,19.5,N.V.
Extra Brut Champagne N.V.,France,Champagne,Comtesse Lafond,4.1,44.9,N.V.
Brut Nature Vintage 2015,Spain,Cava,Vilarnau,3.3,15.61,2015
Vieille Réserve Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Frédéric Malétrez,4.1,45,N.V.
Ca del Vento Lambrusco Rosato N.V.,Italy,Reggiano,Venturini Baldini,3.5,11.9,N.V.
Riesling Brut 2017,Germany,Pfalz,Reichsrat von Buhl,3.9,14.75,2017
Rosato Secco N.V.,Italy,Emilia-Romagna,Duca del Valentino,3.5,7.75,N.V.
Rive di San Pietro di Barbozza Valdobbiadene Prosecco Superiore N.V.,Italy,Conegliano-Valdobbiadene Prosecco Superiore,Villa Sandi,4,17.69,N.V.
Millesimé Exception Brut Champagne 2014,France,Champagne,Drappier,4.1,39.79,2014
Franciacorta Pas Operé 2012,Italy,Franciacorta,Bellavista,4.2,45.9,2012
Lugana Brut N.V.,Italy,Lugana,Roveglia,3.5,15.43,N.V.
Brut Rosé 2015,Germany,Baden,Griesel & Compagnie,3.9,15.5,2015
Triumvirat Grande Cuvée Brut 2010,Germany,Rheinhessen,Raumland,4.2,39,2010
Ribolla Gialla 2015,Italy,Colli Orientali del Friuli,Collavini,4.1,26.31,2015
Comtes de Champagne Rosé 2007,France,Champagne,Taittinger,4.3,208.2,2007
Vértice Gouveio Bruto 2007,Portugal,Douro,Caves Transmontanas,4.1,23.39,2007
Rosé de Noir Cuvée Brut N.V.,Italy,Emilia-Romagna,Cleto Chiarli,3.9,9.95,N.V.
Prosecco 2016,Italy,Prosecco,Zonin,3.4,8.24,2016
Pinot Brut N.V.,Germany,Pfalz,Menger-Krug,3.6,15.89,N.V.
Ballerine Brut Étoile Rosé N.V.,France,Crémant de Limoux,Gérard Bertrand,4,50.14,N.V.
Franciacorta Riserva Satèn Palazzo Lana 2008,Italy,Franciacorta,Berlucchi,4.2,69.9,2008
Brut Blanc De Blancs 2015,South Africa,Robertson,Graham Beck,4,19.9,2015
Francesco Galliano Blanc de Blancs 2015,Italy,Piemonte,Borgo Maragliano,3.7,17.9,2015
Geheimrat J Riesling Klassische Flaschengärung Sekt Brut 2011,Germany,Rheingau,Weingüter Wegeler,3.9,28.38,2011
Moncalvina Moscato d'Asti 'Canelli' 2018,Italy,Moscato d'Asti,Coppo,4.2,11.9,2018
Echter Secco N.V.,Germany,Franken,Juliusspital,4,9.62,N.V.
Brut Rosé Champagne N.V.,France,Champagne,Gallimard Père & Fils,4,28.95,N.V.
Franciacorta Satèn Brut 2015,Italy,Franciacorta,Ricci Curbastro,3.9,24.37,2015
Solighello Frizzante N.V.,Italy,Veneto,Soligo,3.5,6.55,N.V.
Blanc de Noirs Brut 2015,Germany,Baden,Griesel & Compagnie,3.8,32,2015
Reiterer-Reiterer Rosé Brut N.V.,Italy,Trentino-Alto Adige,Arunda,3.8,22.9,N.V.
Conde de Haro Brut 2016,Spain,Cava,Muga,3.8,16.47,2016
Blanc de Trilogia 2018,Spain,Valencia,Los Frailes,4,9.45,2018
Réserve Brut Champagne N.V.,France,Champagne,Morize Père & Fils,3.8,30.3,N.V.
Muskateller Brut M N.V.,Austria,Südsteiermark,Weingut Erich & Walter Polz,4.1,19.8,N.V.
Cascinetta Moscato d'Asti 2019,Italy,Moscato d'Asti,Vietti,4.2,13.5,2019
Crémant de Limoux Brut N.V.,France,Crémant de Limoux,La Louvière,3.9,18.79,N.V.
Amabile N.V.,Italy,Lambrusco Grasparossa di Castelvetro,Corte Manzini,3.9,10.6,N.V.
Esprit Brut Champagne N.V.,France,Champagne,Baron-Fuenté,3.7,35.89,N.V.
Trauben Secco N.V.,Germany,Rheinhessen,Raumland,3.7,8.5,N.V.
Brut Rosé d'Assemblage Champagne N.V.,France,Champagne,Gremillet,3.9,31.5,N.V.
Esprit Blanc de Blancs Champagne N.V.,France,Champagne,Baron-Fuenté,3.8,35.89,N.V.
Perlae Naonis Millesimato Prosecco 2018,Italy,Prosecco,San Simone,3.9,13.21,2018
Extra Brut Champagne N.V.,France,Champagne,Irroy,3.7,30.75,N.V.
Radegonda Rosé Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,San Venanzio Fortunato,3.8,15,N.V.
Garda Brut N.V.,Italy,Garda,Valdo,3.7,7.51,N.V.
Chardonnay Brut N.V.,Germany,Pfalz,Menger-Krug,3.8,18.29,N.V.
Prosecco Frizzante N.V.,Italy,Prosecco,Ca' di Alte,3.3,6.97,N.V.
Cava La Cuvee Gran Reserva 2015,Spain,Cava,Gramona,3.9,17.85,2015
Brut Almerita Regaleali 2015,Italy,Contea di Sclafani,Tasca d'Almerita,3.9,24.2,2015
